 111010110 ->  
 111010111 -> " 
 11011011 -> 270 
 111110110 -> x 
 111110111 -> z 
 11100011 -> = 
 111100110 -> C 
 111100111 -> D 
 111011110 -> 7 
 111011111 -> 8 
 11011111 -> - 
 111111110011 -> 319 
 111111110000 -> 313 
 111111110100 -> 314 
 1111111111000 -> 338 
 111111110010 -> 315 
 111111110110 -> 316 
 1111111111100 -> 340 
 1111111110100 -> 339 
 111111110001 -> 317 
 111111110101 -> 318 
 1111111111010 -> 342 
 1111111110101 -> 347 
 1111111111101 -> 348 
 1111111110001 -> 345 
 1111111111001 -> 346 
 1111111110111 -> 351 
 1111111111111 -> 352 
 1111111110011 -> 349 
 1111111111011 -> 350 
 1111111110010 -> 341 
 111111110111 -> 320 
 1111111111110 -> 344 
 1111111110110 -> 343 
 1111111110000 -> 337 
 11100111 -> k 
 111101110 -> S 
 111101111 -> T 
 1110100100 -> 281 
 1110100110 -> 282 
 1110100101 -> 283 
 1110100111 -> 284 
 11011001 -> 266 
 111110010 -> Y 
 111110011 -> [ 
 11100001 -> 2 
 111100010 -> ; 
 111100011 -> < 
 111011010 -> / 
 111011011 -> 3 
 110111010 -> 274 
 110111011 -> 276 
 11111101000 -> 277 
 11111101010 -> 278 
 11111101001 -> 279 
 11111101011 -> 280 
 11111101100 -> 285 
 11111101110 -> 286 
 11111101101 -> 287 
 11111101111 -> 288 
 11100101 -> E 
 111101010 -> L 
 111101011 -> M 
 1100101 -> , 
 111010100 -> 
 
 111010101 ->  
 11011010 -> 269 
 111110100 -> ] 
 111110101 -> q 
 11100010 -> 5 
 1101001 -> g 
 111100100 -> > 
 111100101 -> B 
 1100111 -> N 
 111011100 -> 4 
 111011101 -> 6 
 11011110 -> ) 
 111111100011 -> 295 
 111111100000 -> 289 
 111111100100 -> 290 
 111111101100 -> 298 
 111111100010 -> 291 
 111111100110 -> 292 
 111111101110 -> 300 
 111111101010 -> 299 
 111111100001 -> 293 
 111111100101 -> 294 
 111111101101 -> 302 
 111111101001 -> 301 
 111111100111 -> 296 
 111111101111 -> 304 
 111111101011 -> 303 
 111111101000 -> 297 
 1100011 -> 268 
 11100110 -> F 
 1101011 -> w 
 111101100 -> P 
 111101101 -> R 
 01001 -> i 
 1100100 -> ( 
 100010 -> 271 
 01101 -> s 
 11101000 -> 262 
 101010 -> m 
 01011 -> o 
 11011000 -> 265 
 100110 -> d 
 01111 -> 258 
 111110000 -> W 
 111110001 -> X 
 101110 -> 260 
 01000 -> a 
 110000 -> 264 
 0000 ->   
 10000 -> 261 
 01100 -> r 
 11100000 -> 1 
 0010 -> 257 
 101000 -> h 
 01010 -> n 
 1101000 -> b 
 0001 -> e 
 100100 -> . 
 01110 -> t 
 111100000 -> 9 
 111100001 -> : 
 0011 -> 259 
 101100 -> u 
 1100110 -> 0 
 100011 -> 272 
 111011000 -> ' 
 111011001 -> + 
 101011 -> p 
 110111000 -> 273 
 110111001 -> 275 
 100111 -> f 
 111111000 -> | 
 111111001 -> 256 
 101111 -> 263 
 1100010 -> 267 
 11100100 -> A 
 101001 -> l 
 1101010 -> v 
 100101 -> c 
 111101000 -> H 
 111101001 -> I 
 101101 -> y 
